Gene;Entrez;NumSucc;NumTrials;Average;PVal;CumPosition;QValue
NCKAP1L;3071;23;94;0,92039292;9,64E-07;108;0,000199949
CAPN2;824;25;108;0,92039292;1,01E-06;109;0,000208598
AMPD3;272;24;102;0,92039292;1,21E-06;110;0,000246437
USP54;159195;21;82;0,92039292;1,27E-06;111;0,000255418
TXNIP;10628;24;103;0,92039292;1,46E-06;112;0,000291769
C1S;716;15;46;0,92039292;1,53E-06;113;0,000303344
FAM46A;55603;21;83;0,92039292;1,57E-06;114;0,000307956
MAOB;4129;22;90;0,92039292;1,67E-06;115;0,000325895
RASA3;22821;25;111;0,92039292;1,74E-06;116;0,000335669
LGMN;5641;25;111;0,92039292;1,74E-06;117;0,0003328
S100A8;6279;24;104;0,92039292;1,75E-06;118;0,000332869
TBXAS1;6916;24;104;0,92039292;1,75E-06;119;0,000330072
PLD4;122618;22;91;0,92039292;2,04E-06;120;0,000380949
SRSF5;6430;24;105;0,92039292;2,10E-06;121;0,000389079
ABCA1;19;24;105;0,92039292;2,10E-06;122;0,00038589
RBM3;5935;25;113;0,92039292;2,46E-06;123;0,000447288
TAP1;6890;24;106;0,92039292;2,51E-06;124;0,000453801
RIN2;54453;23;99;0,92039292;2,52E-06;125;0,000452229
CSTB;1476;26;121;0,92039292;2,78E-06;126;0,000495122
CRYAB;1410;26;121;0,92039292;2,78E-06;127;0,000491223
PLA2G7;7941;21;86;0,92039292;2,91E-06;128;0,000508632
CNP;1267;24;107;0,92039292;2,99E-06;129;0,000519974
HCLS1;3059;22;93;0,92039292;3,00E-06;130;0,00051785
AIF1;199;23;100;0,92039292;3,03E-06;131;0,000518254
GFAP;2670;23;100;0,92039292;3,03E-06;132;0,000514328
CD302;9936;23;100;0,92039292;3,03E-06;133;0,00051046
PRSS23;11098;23;100;0,92039292;3,03E-06;134;0,000506651
LITAF;9516;26;122;0,92039292;3,27E-06;135;0,000542899
BNIP3L;665;26;122;0,92039292;3,27E-06;136;0,000538907
FAM129B;64855;23;101;0,92039292;3,63E-06;137;0,000593423
SLAMF9;89886;19;74;0,92039292;3,83E-06;138;0,000621234
ANXA2;302;26;123;0,92039292;3,83E-06;139;0,000618102
PMP22;5376;25;116;0,92039292;4,05E-06;140;0,000647961
ADM;133;25;116;0,92039292;4,05E-06;141;0,000643366
SREBF1;6720;25;116;0,92039292;4,05E-06;142;0,000638835
ASPA;443;21;88;0,92039292;4,31E-06;143;0,000674544
GPR137B;7107;23;102;0,92039292;4,33E-06;144;0,000674136
TNFRSF1A;7132;23;102;0,92039292;4,33E-06;145;0,000669487
GSTP1;2950;15;50;0,92039292;4,95E-06;146;0,000760071
SQSTM1;8878;24;110;0,92039292;4,99E-06;147;0,000760824
CLIC4;25932;24;110;0,92039292;4,99E-06;148;0,000755683
SUN2;25777;23;103;0,92039292;5,16E-06;149;0,000775768
IRF7;3665;23;103;0,92039292;5,16E-06;150;0,000770596
