Gene;Entrez;NumSucc;NumTrials;Average;PVal;CumPosition;QValue
DNASE2;1777;19;107;0,92039292;0,000763413;415;0,040973659
GNAI2;2771;19;107;0,92039292;0,000763413;416;0,040875165
TUBGCP2;10844;19;107;0,92039292;0,000763413;417;0,040777143
SNX33;257364;16;83;0,92039292;0,000774442;418;0,041263805
ZFP36;7538;18;99;0,92039292;0,000778587;419;0,041384334
PHF20;51230;18;99;0,92039292;0,000778587;420;0,0412858
CIC;23152;17;91;0,92039292;0,000783259;421;0,041433403
CTSC;1075;21;124;0,92039292;0,000793113;422;0,041852062
SLC2A1;6513;20;116;0,92039292;0,000828457;423;0,04360187
RPS6KA1;6195;20;116;0,92039292;0,000828457;424;0,043499035
TANC1;85461;19;108;0,92039292;0,000858111;425;0,044939748
TBC1D2B;23102;19;108;0,92039292;0,000858111;426;0,044834256
KRT8;3856;19;108;0,92039292;0,000858111;427;0,044729257
DPP7;29952;19;108;0,92039292;0,000858111;428;0,04462475
NBPF11;200030;7;21;0,92039292;0,000864719;429;0,044861267
LDLRAD3;143458;15;76;0,92039292;0,000865078;430;0,044775394
SERPINE1;5054;18;100;0,92039292;0,00087971;431;0,045421936
TULP4;56995;18;100;0,92039292;0,00087971;432;0,045316793
SH3PXD2A;9644;18;100;0,92039292;0,00087971;433;0,045212135
TSC22D1;8848;21;125;0,92039292;0,000882681;434;0,045259285
EPSTI1;94240;16;84;0,92039292;0,000886788;435;0,045363891
MYO7A;4647;17;92;0,92039292;0,000890392;436;0,045442512
TNFSF13;8741;17;92;0,92039292;0,000890392;437;0,045338524
POLR2A;5430;8;27;0,92039292;0,000899829;438;0,045711129
ADH1B;125;8;27;0,92039292;0,000899829;439;0,045607003
CD8A;925;12;54;0,92039292;0,000934485;440;0,047243198
CLSTN1;22883;19;109;0,92039292;0,000962703;441;0,048548834
COL18A1;80781;19;109;0,92039292;0,000962703;442;0,048438995
MT1A;4489;5;11;0,92039292;0,0009806;443;0,049221329
ABCG1;9619;18;101;0,92039292;0,000991845;444;0,049669296
TMED3;23423;18;101;0,92039292;0,000991845;445;0,049557679
RBP1;5947;18;101;0,92039292;0,000991845;446;0,049446564
IL1B;3553;18;101;0,92039292;0,000991845;447;0,049335945
PCDHB3;56132;15;77;0,92039292;0,000996219;448;0,049441234
MYL12A;10627;17;93;0,92039292;0,001009754;449;0,049996121
JUN;3725;20;118;0,92039292;0,001032058;450;0,050978125
RSAD2;91543;20;118;0,92039292;0,001032058;451;0,050865091
NUCB1;4924;20;118;0,92039292;0,001032058;452;0,050752558
MYL12B;103910;19;110;0,92039292;0,00107801;453;0,052876472
IRF9;10379;19;110;0,92039292;0,00107801;454;0,052760004
WDFY1;57590;19;110;0,92039292;0,00107801;455;0,052644048
CDK19;23097;19;110;0,92039292;0,00107801;456;0,0525286
SLC44A2;57153;19;110;0,92039292;0,00107801;457;0,052413658
PLP2;5355;12;55;0,92039292;0,001109585;458;0,053817896
IL10RA;3587;18;102;0,92039292;0,001115941;459;0,054005602
PLS1;5357;18;102;0,92039292;0,001115941;460;0,053888199
IGFBP6;3489;18;102;0,92039292;0,001115941;461;0,053771305
MR1;3140;18;102;0,92039292;0,001115941;462;0,053654916
FGGY;55277;18;102;0,92039292;0,001115941;463;0,053539031
CLDN5;7122;15;78;0,92039292;0,001143743;464;0,05474283
PREX1;57580;15;78;0,92039292;0,001143743;465;0,054625103
ABI3;51225;15;78;0,92039292;0,001143743;466;0,054507882
MYO1C;4641;20;119;0,92039292;0,001148996;467;0,054638763
FOXO3;2309;20;119;0,92039292;0,001148996;468;0,054522013
EPB41L3;23136;16;86;0,92039292;0,001153356;469;0,05461036
C3orf70;285382;16;86;0,92039292;0,001153356;470;0,054494167
TNFRSF10B;8795;8;28;0,92039292;0,001172417;471;0,055269002
RAP1B;5908;8;28;0,92039292;0,001172417;472;0,055151906
ATP6AP1L;92270;7;22;0,92039292;0,00118151;473;0,055458239
PCSK6;5046;19;111;0,92039292;0,001204902;474;0,056426708
NECAP2;55707;19;111;0,92039292;0,001204902;475;0,056307915
BGN;633;19;111;0,92039292;0,001204902;476;0,056189621
DDX42;11325;19;111;0,92039292;0,001204902;477;0,056071823
JCHAIN;3512;13;63;0,92039292;0,001216067;478;0,056468131
PRUNE2;158471;13;63;0,92039292;0,001216067;479;0,056350243
CCND1;595;18;103;0,92039292;0,001253001;480;0,057924154
ACAA2;10449;20;120;0,92039292;0,001277074;481;0,058903278
MBNL1;4154;20;120;0,92039292;0,001277074;482;0,058781072
EIF5B;9669;14;71;0,92039292;0,001280233;483;0,058803012
AFF1;4299;17;95;0,92039292;0,001289619;484;0,059107461
GABARAPL1;23710;17;95;0,92039292;0,001289619;485;0,05898559
HSD3B7;80270;17;95;0,92039292;0,001289619;486;0,058864221
SRRM2;23524;17;95;0,92039292;0,001289619;487;0,05874335
GNGT2;2793;15;79;0,92039292;0,001309224;488;0,059505142
HIST1H1C;3006;16;87;0,92039292;0,0013102;489;0,059427241
IP6K3;117283;12;56;0,92039292;0,001311036;490;0,05934343
PDE8A;5151;19;112;0,92039292;0,001344298;491;0,060709414
CLIC2;1193;11;49;0,92039292;0,001378549;492;0,062113218
ACOT9;23597;11;49;0,92039292;0,001378549;493;0,061987228
GADD45A;1647;18;104;0,92039292;0,001404087;494;0,062995268
CA3;761;18;104;0,92039292;0,001404087;495;0,062868005
GLUL;2752;18;104;0,92039292;0,001404087;496;0,062741255
TAGLN;6876;18;104;0,92039292;0,001404087;497;0,062615015
LPIN1;23175;18;104;0,92039292;0,001404087;498;0,062489282
SPTLC2;9517;18;104;0,92039292;0,001404087;499;0,062364053
EMP1;2012;20;121;0,92039292;0,001417132;500;0,062811219
DDIT4;54541;17;96;0,92039292;0,001452515;501;0,064233327
DSE;29940;16;88;0,92039292;0,001484632;502;0,065506524
TMEM119;338773;16;88;0,92039292;0,001484632;503;0,065376293
RASSF4;83937;16;88;0,92039292;0,001484632;504;0,065246578
RACK1;10399;19;113;0,92039292;0,001497164;505;0,065660627
PLA2G4A;5321;19;113;0,92039292;0,001497164;506;0,065530863
HNRNPC;3183;8;29;0,92039292;0,001506934;507;0,06582343
SLC20A1;6574;18;105;0,92039292;0,001570318;508;0,068423357
CPT1A;1374;18;105;0,92039292;0,001570318;509;0,06828893
SLC48A1;55652;18;105;0,92039292;0,001570318;510;0,06815503
MZT2B;80097;7;23;0,92039292;0,001582421;511;0,068539492
NBPF12;149013;7;23;0,92039292;0,001582421;512;0,068405626
MT1HL1;645745;7;23;0,92039292;0,001582421;513;0,068272282
ITGAL;3683;17;97;0,92039292;0,001632428;514;0,070265455
MIB1;57534;17;97;0,92039292;0,001632428;515;0,070129017
TM6SF1;53346;17;97;0,92039292;0,001632428;516;0,069993109
NOL3;8996;17;97;0,92039292;0,001632428;517;0,069857725
PLCB3;5331;19;114;0,92039292;0,001664519;518;0,071075773
LUC7L3;51747;19;114;0,92039292;0,001664519;519;0,070938825
SYNM;23336;16;89;0,92039292;0,001678168;520;0,071375404
BHLHE41;79365;15;81;0,92039292;0,001700855;521;0,072188738
ITGB1;3688;20;123;0,92039292;0,001736764;522;0,073551049
EDEM1;9695;18;106;0,92039292;0,001752872;523;0,074082022
SYK;6850;18;106;0,92039292;0,001752872;524;0,073940645
HTRA1;5654;17;98;0,92039292;0,001830729;525;0,077031061
ISCU;23479;17;98;0,92039292;0,001830729;526;0,076884614
CAVIN2;8436;17;98;0,92039292;0,001830729;527;0,076738723
SGPL1;8879;17;98;0,92039292;0,001830729;528;0,076593384
ITGA7;3679;17;98;0,92039292;0,001830729;529;0,076448595
PRKCZ;5590;19;115;0,92039292;0,001847433;530;0,076990566
TRAM1;23471;19;115;0,92039292;0,001847433;531;0,076845575
SEC14L1;6397;16;90;0,92039292;0,001892404;532;0,078540721
HAPLN2;60484;16;90;0,92039292;0,001892404;533;0,078393365
PCDHB14;56122;13;66;0,92039292;0,001898728;534;0,078504195
RAB11FIP3;9727;8;30;0,92039292;0,001912786;535;0,07892895
GPR65;8477;15;82;0,92039292;0,001930649;536;0,079506384
LAT2;7462;15;82;0,92039292;0,001930649;537;0,079358328
TLR3;7098;15;82;0,92039292;0,001930649;538;0,079210822
KIF1C;10749;18;107;0,92039292;0,001952988;539;0,079964742
YAP1;10413;18;107;0,92039292;0,001952988;540;0,079816659
PLIN2;123;19;116;0,92039292;0,002047026;541;0,083444101
PLEC;5339;19;116;0,92039292;0,002047026;542;0,083290145
SDC2;6383;19;116;0,92039292;0,002047026;543;0,083136756
FGR;2268;17;99;0,92039292;0,002048855;544;0,083056915
UBE2L6;9246;17;99;0,92039292;0,002048855;545;0,082904517
CARHSP1;23589;17;99;0,92039292;0,002048855;546;0,082752678
RPL13A;23521;12;59;0,92039292;0,002103818;547;0,084780904
DRAM1;55332;16;91;0,92039292;0,002129021;548;0,085623172
LPXN;9404;16;91;0,92039292;0,002129021;549;0,08546721
BACE2;25825;16;91;0,92039292;0,002129021;550;0,085311815
SSH3;54961;16;91;0,92039292;0,002129021;551;0,085156985
ARRDC4;91947;16;91;0,92039292;0,002129021;552;0,085002715
ESYT1;23344;18;108;0,92039292;0,002171963;553;0,086531388
ZBTB1;22890;15;83;0,92039292;0,002185695;554;0,086911987
CLASRP;11129;15;83;0,92039292;0,002185695;555;0,086755389
UNC13C;440279;13;67;0,92039292;0,002186566;556;0,086633266
SLAMF8;56833;14;75;0,92039292;0,002208972;557;0,087348611
FLII;2314;19;117;0,92039292;0,002264472;558;0,089344017
ARHGAP1;392;19;117;0,92039292;0,002264472;559;0,089184189
MTMR10;54893;19;117;0,92039292;0,002264472;560;0,089024931
CBFB;865;19;117;0,92039292;0,002264472;561;0,088866241
RGS3;5998;19;117;0,92039292;0,002264472;562;0,088708116
ADIPOR2;79602;19;117;0,92039292;0,002264472;563;0,088550553
MTHFD2;10797;17;100;0,92039292;0,002288319;564;0,0893078
MAPK12;6300;17;100;0,92039292;0,002288319;565;0,089149733
OSBPL9;114883;17;100;0,92039292;0,002288319;566;0,088992225
IL2RG;3561;11;52;0,92039292;0,002291022;567;0,088938336
DNAJC1;64215;16;92;0,92039292;0,002389785;568;0,092537588
ANKRD44;91526;16;92;0,92039292;0,002389785;569;0,092374956
HMGB2;3148;16;92;0,92039292;0,002389785;570;0,092212894
CBR3;874;18;109;0,92039292;0,002411157;571;0,092859103
TK2;7084;18;109;0,92039292;0,002411157;572;0,092696762
ADAR;103;18;109;0,92039292;0,002411157;573;0,092534988
BCAP31;10134;18;109;0,92039292;0,002411157;574;0,092373777
LAP3;51056;18;109;0,92039292;0,002411157;575;0,092213127
CORO1A;11151;18;109;0,92039292;0,002411157;576;0,092053035
KRT18;3875;15;84;0,92039292;0,002468066;577;0,094020558
PSAP;5660;19;118;0,92039292;0,002500995;578;0,095085656
IER3;8870;19;118;0,92039292;0,002500995;579;0,094921432
GEM;2669;13;68;0,92039292;0,002509291;580;0,095065921
TMPO;7112;14;76;0,92039292;0,002512432;581;0,095018748
NOD1;10392;17;101;0,92039292;0,002550701;582;0,096271464
MANBA;4126;17;101;0,92039292;0,002550701;583;0,096106333
IMPACT;55364;17;101;0,92039292;0,002550701;584;0,095941767
SNX10;29887;18;110;0,92039292;0,00267199;585;0,100236899
GPATCH8;23131;18;110;0,92039292;0,00267199;586;0,100065847
YWHAH;7533;18;110;0,92039292;0,00267199;587;0,099895377
PICALM;8301;18;110;0,92039292;0,00267199;588;0,099725487
FES;2242;16;93;0,92039292;0,002676545;589;0,099722322
S1PR3;1903;16;93;0,92039292;0,002676545;590;0,099553302
NNMT;4837;16;93;0,92039292;0,002676545;591;0,099384853
IFIH1;64135;16;93;0,92039292;0,002676545;592;0,099216973
ATP10D;57205;11;53;0,92039292;0,002685982;593;0,099391549
MAP3K7CL;56911;7;25;0,92039292;0,002694302;594;0,099525088
TPD52;7163;19;119;0,92039292;0,002757875;595;0,101651546
PFKFB3;5209;19;119;0,92039292;0,002757875;596;0,10148099
PKP4;8502;19;119;0,92039292;0,002757875;597;0,101311005
LEPROT;54741;15;85;0,92039292;0,002779937;598;0,101933051
C5AR1;728;15;85;0,92039292;0,002779937;599;0,101762879
PPM1K;152926;15;85;0,92039292;0,002779937;600;0,101593274
PIK3AP1;118788;15;85;0,92039292;0,002779937;601;0,101424234
PXDNL;137902;6;19;0,92039292;0,002780679;602;0,101282197
SELENOP;6414;12;61;0,92039292;0,002823045;603;0,10262069
C7;730;12;61;0,92039292;0,002823045;604;0,102450788
BLNK;29760;17;102;0,92039292;0,002837653;605;0,102798916
TGFB3;7043;17;102;0,92039292;0,002837653;606;0,102629281
CEBPA;1050;17;102;0,92039292;0,002837653;607;0,102460204
NFAM1;150372;10;46;0,92039292;0,002890801;608;0,104164136
EDIL3;10085;18;111;0,92039292;0,002955943;609;0,106282133
ALDH9A1;223;18;111;0,92039292;0,002955943;610;0,1061079
ACSS1;84532;18;111;0,92039292;0,002955943;611;0,105934237
BAG3;9531;18;111;0,92039292;0,002955943;612;0,105761142
KIAA0513;9764;18;111;0,92039292;0,002955943;613;0,105588611
EFCAB14;9813;18;111;0,92039292;0,002955943;614;0,105416643
SDF4;51150;18;111;0,92039292;0,002955943;615;0,105245234
NFE2L1;4779;18;111;0,92039292;0,002955943;616;0,105074381
SPARCL1;8404;18;111;0,92039292;0,002955943;617;0,104904082
NAPSA;9476;16;94;0,92039292;0,002991233;618;0,105955358
XDH;7498;19;120;0,92039292;0,003036442;619;0,107344867
NT5C2;22978;15;86;0,92039292;0,003123581;620;0,110171858
TMED5;50999;15;86;0,92039292;0,003123581;621;0,109994447
FUBP3;8939;15;86;0,92039292;0,003123581;622;0,109817607
EPAS1;2034;17;103;0,92039292;0,003150898;623;0,110576431
FST;10468;17;103;0,92039292;0,003150898;624;0,110399225
B4GALT5;9334;17;103;0,92039292;0,003150898;625;0,110222586
RHOQ;23433;18;112;0,92039292;0,003264556;626;0,113914171
RTN4;57142;18;112;0,92039292;0,003264556;627;0,11373249
CTNNAL1;8727;18;112;0,92039292;0,003264556;628;0,113551387
SDC1;6382;18;112;0,92039292;0,003264556;629;0,11337086
PAMR1;25891;16;95;0,92039292;0,003335863;630;0,115598426
GALNT6;11226;16;95;0,92039292;0,003335863;631;0,115415228
CMTM3;123920;16;95;0,92039292;0,003335863;632;0,115232609
P2RX4;5025;19;121;0,92039292;0,003338078;633;0,115124934
ADIRF;10974;7;26;0,92039292;0,003436249;634;0,118232291
CFH;3075;7;26;0,92039292;0,003436249;635;0,118046098
STXBP1;6812;17;104;0,92039292;0,003492229;636;0,119727714
PTK2B;2185;17;104;0,92039292;0,003492229;637;0,119539758
SLCO2B1;11309;17;104;0,92039292;0,003492229;638;0,119352392
GALC;2581;17;104;0,92039292;0,003492229;639;0,119165612
PKD2;5311;17;104;0,92039292;0,003492229;640;0,118979416
SLC43A2;124935;15;87;0,92039292;0,003501369;641;0,119096141
DHRS3;9249;18;113;0,92039292;0,00359943;642;0,122146389
PHF1;5252;18;113;0,92039292;0,00359943;643;0,121956426
DKK3;27122;18;113;0,92039292;0,00359943;644;0,121767053
SLC7A2;6542;18;113;0,92039292;0,00359943;645;0,121578267
MYO9B;4650;18;113;0,92039292;0,00359943;646;0,121390065
VCL;7414;18;113;0,92039292;0,00359943;647;0,121202445
QKI;9444;14;79;0,92039292;0,003634559;648;0,122162579
PTTG1IP;754;19;122;0,92039292;0,003664218;649;0,122940931
PHLDA3;23612;16;96;0,92039292;0,003712533;650;0,124322904
ITGB8;3696;16;96;0,92039292;0,003712533;651;0,124131931
ARHGEF6;9459;16;96;0,92039292;0,003712533;652;0,123941545
TNNT2;7139;16;96;0,92039292;0,003712533;653;0,123751742
SLC25A28;81894;16;96;0,92039292;0,003712533;654;0,123562519
REV1;51455;16;96;0,92039292;0,003712533;655;0,123373874
C14orf159;80017;16;96;0,92039292;0,003712533;656;0,123185804
CEP350;9857;13;71;0,92039292;0,00371823;657;0,123181487
FNBP1;23048;17;105;0,92039292;0,003863507;658;0,127653226
FUS;2521;17;105;0,92039292;0,003863507;659;0,127459519
CDC42BPB;9578;17;105;0,92039292;0,003863507;660;0,127266398
TPPP3;51673;17;105;0,92039292;0,003863507;661;0,127073862
DPYSL2;1808;17;105;0,92039292;0,003863507;662;0,126881908
ARHGEF3;50650;17;105;0,92039292;0,003863507;663;0,126690532
ELL2;22936;18;114;0,92039292;0,003962226;664;0,129630746
TUBB;203068;18;114;0,92039292;0,003962226;665;0,129435812
TUBB6;84617;18;114;0,92039292;0,003962226;666;0,129241464
SOAT1;6646;19;123;0,92039292;0,00401635;667;0,130754454
STK3;6788;19;123;0,92039292;0,00401635;668;0,130558714
TNFAIP3;7128;14;80;0,92039292;0,004088545;669;0,13263104
HACD4;401494;14;80;0,92039292;0,004088545;670;0,132433083
TOR4A;54863;14;80;0,92039292;0,004088545;671;0,132235716
GPR34;2857;14;80;0,92039292;0,004088545;672;0,132038937
SUSD2;56241;14;80;0,92039292;0,004088545;673;0,131842742
sept-09;10801;16;97;0,92039292;0,004123418;674;0,132733339
LYVE1;10894;16;97;0,92039292;0,004123418;675;0,132536697
CALCRL;10203;16;97;0,92039292;0,004123418;676;0,132340636
SBNO2;22904;16;97;0,92039292;0,004123418;677;0,132145155
NACC2;138151;16;97;0,92039292;0,004123418;678;0,131950251
ITPRIPL2;162073;11;56;0,92039292;0,004209493;679;0,134414555
ICAM1;3383;13;72;0,92039292;0,004212651;680;0,134314216
HVCN1;84329;12;64;0,92039292;0,004263663;681;0,135686118
GPLD1;2822;17;106;0,92039292;0,004266662;682;0,135579232
NOTCH2;4853;17;106;0,92039292;0,004266662;683;0,135380727
CDKN1C;1028;7;27;0,92039292;0,004323996;684;0,136937033
ANKHD1;54882;7;27;0,92039292;0,004323996;685;0,136737125
MT1G;4495;7;27;0,92039292;0,004323996;686;0,1365378
RYK;6259;18;115;0,92039292;0,004354662;687;0,137272566
ZYX;7791;18;115;0,92039292;0,004354662;688;0,137073042
SMAD3;4088;18;115;0,92039292;0,004354662;689;0,136874097
JAK2;3717;18;115;0,92039292;0,004354662;690;0,136675729
ZBTB4;57659;15;89;0,92039292;0,004369334;691;0,136921833
SNX18;112574;15;89;0,92039292;0,004369334;692;0,136723969
PLVAP;83483;15;89;0,92039292;0,004369334;693;0,136526676
ST14;6768;15;89;0,92039292;0,004369334;694;0,136329952
ZC2HC1A;51101;16;98;0,92039292;0,004570772;695;0,142182179
ENC1;8507;16;98;0,92039292;0,004570772;696;0,141977894
EMP3;2014;16;98;0,92039292;0,004570772;697;0,141774195
SSPN;8082;16;98;0,92039292;0,004570772;698;0,14157108
XPO6;23214;16;98;0,92039292;0,004570772;699;0,141368547
MOB1A;55233;16;98;0,92039292;0,004570772;700;0,141166592
KLK6;5653;14;81;0,92039292;0,004587465;701;0,141461254
PLIN3;10226;14;81;0,92039292;0,004587465;702;0,141259742
HERC6;55008;14;81;0,92039292;0,004587465;703;0,141058804
MYBPC1;4604;14;81;0,92039292;0,004587465;704;0,140858436
TCIRG1;10312;17;107;0,92039292;0,004703689;705;0,144088932
SLC25A37;51312;17;107;0,92039292;0,004703689;706;0,14388484
SAMD4B;55095;13;73;0,92039292;0,004758726;707;0,145298842
WDR1;9948;18;116;0,92039292;0,004778513;708;0,145673958
RIOK3;8780;18;116;0,92039292;0,004778513;709;0,145468494
SMC5;23137;18;116;0,92039292;0,004778513;710;0,145263609
USE1;55850;18;116;0,92039292;0,004778513;711;0,1450593
SCARB2;950;19;125;0,92039292;0,004804782;712;0,145621397
FANCE;2178;11;57;0,92039292;0,004847426;713;0,14665796
ASS1;445;11;57;0,92039292;0,004847426;714;0,146452556
BICD1;636;15;90;0,92039292;0,00486472;715;0,146749264
KLHL5;51088;15;90;0,92039292;0,00486472;716;0,146544306
MMRN1;22915;15;90;0,92039292;0,00486472;717;0,146339921
SPON1;10418;16;99;0,92039292;0,005056925;718;0,151677206
HSPA2;3306;16;99;0,92039292;0,005056925;719;0,15146625
CDKN2B;1030;16;99;0,92039292;0,005056925;720;0,15125588
JDP2;122953;16;99;0,92039292;0,005056925;721;0,151046094
CXCL14;9547;16;99;0,92039292;0,005056925;722;0,150836889
CAMK2N1;55450;16;99;0,92039292;0,005056925;723;0,150628262
UNC5B;219699;16;99;0,92039292;0,005056925;724;0,150420212
RBSN;64145;14;82;0,92039292;0,005134457;725;0,152421377
SLC7A7;9056;17;108;0,92039292;0,005176649;726;0,153410504
LATS2;26524;17;108;0,92039292;0,005176649;727;0,153199485
PTGER2;5732;17;108;0,92039292;0,005176649;728;0,152989046
SPIRE1;56907;17;108;0,92039292;0,005176649;729;0,152779185
DHX33;56919;13;74;0,92039292;0,005360203;730;0,157748032
MT1X;4501;7;28;0,92039292;0,005374522;731;0,157934963
ZNF395;55893;15;91;0,92039292;0,005404661;732;0,158565406
HOOK1;51361;15;91;0,92039292;0,005404661;733;0,158349082
ALPK3;57538;15;91;0,92039292;0,005404661;734;0,158133347
PIP4K2A;5305;15;91;0,92039292;0,005404661;735;0,1579182
BEX3;27018;15;91;0,92039292;0,005404661;736;0,157703637
KLRD1;3824;15;91;0,92039292;0,005404661;737;0,157489657
PLCE1;51196;16;100;0,92039292;0,005584278;738;0,162269492
GATM;2628;16;100;0,92039292;0,005584278;739;0,162049912
MID1IP1;58526;17;109;0,92039292;0,005687664;740;0,164690401
SH3BGRL3;83442;17;109;0,92039292;0,005687664;741;0,164468147
GCLM;2730;17;109;0,92039292;0,005687664;742;0,164246492
TMBIM6;7009;17;109;0,92039292;0,005687664;743;0,164025434
STK10;6793;18;118;0,92039292;0,005727843;744;0,164908949
P4HB;5034;18;118;0,92039292;0,005727843;745;0,164687595
LPP;4026;18;118;0,92039292;0,005727843;746;0,164466834
MGP;4256;18;118;0,92039292;0,005727843;747;0,164246664
PIR;8544;14;83;0,92039292;0,005732756;748;0,164161316
CXCL9;4283;15;92;0,92039292;0,005991974;749;0,170998628
FAM214A;56204;15;92;0,92039292;0,005991974;750;0,17077063
ST8SIA6;338596;9;43;0,92039292;0,006006812;751;0,170945152
S100A10;6281;13;75;0,92039292;0,006020945;752;0,17110003
GM2A;2760;16;101;0,92039292;0,006155305;753;0,174497095
CYBRD1;79901;16;101;0,92039292;0,006155305;754;0,174265666
TDRD7;23424;16;101;0,92039292;0,006155305;755;0,174034851
IGFBP5;3488;16;101;0,92039292;0,006155305;756;0,173804646
PSTPIP1;9051;16;101;0,92039292;0,006155305;757;0,173575049
SAA1;6288;6;22;0,92039292;0,00621764;758;0,175013661
MYO1D;4642;18;119;0,92039292;0,006257144;759;0,175837562
PDLIM5;10611;18;119;0,92039292;0,006257144;760;0,175606197
PLEKHB2;55041;18;119;0,92039292;0,006257144;761;0,17537544
FTH1;2495;18;119;0,92039292;0,006257144;762;0,175145288
OCIAD2;132299;11;59;0,92039292;0,006351428;763;0,177416494
IL13RA1;3597;14;84;0,92039292;0,006385694;764;0,178090949
SCARA3;51435;14;84;0,92039292;0,006385694;765;0,17785815
NXT2;55916;14;84;0,92039292;0,006385694;766;0,177625959
LGI4;163175;14;84;0,92039292;0,006385694;767;0,177394374
PLA2G2D;26279;14;84;0,92039292;0,006385694;768;0,177163392
TMEM181;57583;14;84;0,92039292;0,006385694;769;0,17693301
PLSCR1;5359;7;29;0,92039292;0,006605118;770;0,182451492
GCA;25801;15;93;0,92039292;0,006629557;771;0,182852924
VAV1;7409;15;93;0,92039292;0,006629557;772;0,182616068
PHLPP1;23239;15;93;0,92039292;0,006629557;773;0,182379824
MAFF;23764;15;93;0,92039292;0,006629557;774;0,182144192
RAB20;55647;15;93;0,92039292;0,006629557;775;0,181909167
C2orf88;84281;15;93;0,92039292;0,006629557;776;0,181674748
FAM13B;51306;15;93;0,92039292;0,006629557;777;0,181440932
AGA;175;16;102;0,92039292;0,006772542;778;0,184901998
PDLIM3;27295;16;102;0,92039292;0,006772542;779;0,18466464
HADHB;3032;16;102;0,92039292;0,006772542;780;0,184427891
TLR4;7099;16;102;0,92039292;0,006772542;781;0,184191748
ATP1B3;483;18;120;0,92039292;0,006825503;782;0,185315263
ALAS2;212;17;111;0,92039292;0,006832645;783;0,185261536
TRIB3;57761;17;111;0,92039292;0,006832645;784;0,185025233
RNF13;11342;17;111;0,92039292;0,006832645;785;0,184789532
MYLK;4638;17;111;0,92039292;0,006832645;786;0,184554431
CNPPD1;27013;17;111;0,92039292;0,006832645;787;0,184319927
DDX39B;7919;17;111;0,92039292;0,006832645;788;0,184086019
MEGF10;84466;12;68;0,92039292;0,007040099;789;0,189116657
KIAA0355;9710;14;85;0,92039292;0,007096688;790;0,190308102
FAM102A;399665;14;85;0,92039292;0,007096688;791;0,19006751
PDLIM4;8572;14;85;0,92039292;0,007096688;792;0,189827526
TPRG1L;127262;14;85;0,92039292;0,007096688;793;0,189588147
PXDC1;221749;14;85;0,92039292;0,007096688;794;0,189349371
CDHR1;92211;14;85;0,92039292;0,007096688;795;0,189111196
AIFM2;84883;14;85;0,92039292;0,007096688;796;0,188873619
DONSON;29980;15;94;0,92039292;0,007320378;797;0,194229321
SOX10;6663;15;94;0,92039292;0,007320378;798;0,193985926
SLFN5;162394;15;94;0,92039292;0,007320378;799;0,19374314
MIER1;57708;16;103;0,92039292;0,007438592;800;0,196436764
MGMT;4255;16;103;0,92039292;0,007438592;801;0,196191525
PDK4;5166;16;103;0,92039292;0,007438592;802;0,195946897
CRIM1;51232;16;103;0,92039292;0,007438592;803;0,195702879
TNFRSF12A;51330;16;103;0,92039292;0,007438592;804;0,195459467
PLAC8;51316;16;103;0,92039292;0,007438592;805;0,19521666
CYP27A1;1593;16;103;0,92039292;0,007438592;806;0,194974456
CBLB;868;16;103;0,92039292;0,007438592;807;0,194732852
TLR7;51284;16;103;0,92039292;0,007438592;808;0,194491846
ARHGAP26;23092;16;103;0,92039292;0,007438592;809;0,194251436
FOXO1;2308;17;112;0,92039292;0,007471145;810;0,194809049
MAPK3;5595;17;112;0,92039292;0,007471145;811;0,19456884
XPC;7508;17;112;0,92039292;0,007471145;812;0,194329223
EXTL3;2137;17;112;0,92039292;0,007471145;813;0,194090196
MORF4L2;9643;17;112;0,92039292;0,007471145;814;0,193851756
AGT;183;17;112;0,92039292;0,007471145;815;0,193613901
STAG2;10735;17;112;0,92039292;0,007471145;816;0,193376629
NRROS;375387;13;77;0,92039292;0,007536208;817;0,19471874
COL21A1;81578;6;23;0,92039292;0,0078536;818;0,202147512
SELENON;57190;6;23;0,92039292;0,0078536;819;0,20190069
KDSR;2531;14;86;0,92039292;0,007869237;820;0,202030177
SOX9;6662;14;86;0,92039292;0,007869237;821;0,201784099
ST6GALNAC4;27090;14;86;0,92039292;0,007869237;822;0,201538619
ARHGAP23;57636;14;86;0,92039292;0,007869237;823;0,201293736
VPS18;57617;14;86;0,92039292;0,007869237;824;0,201049448
NFATC1;4772;14;86;0,92039292;0,007869237;825;0,200805751
RORB;6096;14;86;0,92039292;0,007869237;826;0,200562645
ABCA5;23461;14;86;0,92039292;0,007869237;827;0,200320127
TMEM100;55273;14;86;0,92039292;0,007869237;828;0,200078194
C1RL;51279;12;69;0,92039292;0,00791802;829;0,200995568
TJP2;9414;7;30;0,92039292;0,008033219;830;0,203482495
AHSA2;130872;7;30;0,92039292;0,008033219;831;0,20323763
DKFZp686K1684;440034;15;95;0,92039292;0,008067475;832;0,203801866
CCDC84;338657;15;95;0,92039292;0,008067475;833;0,203557206
RECK;8434;15;95;0,92039292;0,008067475;834;0,203313132
SBDS;51119;15;95;0,92039292;0,008067475;835;0,203069643
NEK7;140609;18;122;0,92039292;0,008087583;836;0,203298854
ASXL1;171023;16;104;0,92039292;0,008156112;837;0,204661731
FLOT1;10211;16;104;0,92039292;0,008156112;838;0,204417505
